Term.1	GWAS.1	QTL.1	Term.2	GWAS.2	QTL.2	Term.3	GWAS.3	QTL.3
Seed abortion	_	QTL	Seed N at R7	_	QTL	Seed winter hardiness	_	QTL
Seed N at R5	_	QTL	Seed set	GWAS	QTL			
Seed N at R6	_	QTL	Seed viability	_	QTL			
