Term.1	GWAS.1	QTL.1	Term.2	GWAS.2	QTL.2	Term.3	GWAS.3	QTL.3
Canopy wilt	_	QTL	Flooding yield index	_	QTL	R/V photo-thermal sensitivity	_	QTL
Drought index	_	QTL	Leaf Damage	_	QTL	Salt tolerance	_	QTL
Drought tolerance	_	QTL	mqCanopy wilt	_	QTL			
Flood tolerance	_	QTL	Plant damage	_	QTL			
