sample_id	filename	original_name	file_type
1R01C57CMN09NSFBV	1R01C57CMN09NSFBV_1.jpg		whole_plant
1R01C81CMN09NSFBV	1R01C81CMN09NSFBV_1.jpg		whole_plant
1R02C16CMN09NSFBV	1R02C16CMN09NSFBV_1.jpg		whole_plant
