Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
K05-4987RR	S99-2281	K03W-104	( S99-2281 ( N90-516 ( Hutcheson , N83-1014 ( GaSoy_17 ( Bragg , Hood ) , N77-940 ( N70-1540 ( Dare , D65-6765 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Centennial ) ) ) , S92-1069 ( Manokin , Hartwig ) ) , K03W-104 )	-	-
K06-3202RR	K1530	MD99-0687-3RR	( K1530 ( KS5292 , SC91-2007 ) , MD99-0687-3RR )	-	-
K06-3208RR	5002T	S02-677CR_RR	( 5002T , S02-677CR_RR )	-	-
K07-121	35.TCS	L93-0375	( 35.TCS , L93-0375 )	-	-
K08-5862	KS5004N	TN05-5118	( KS5004N , TN05-5118 ( 560T , CX1834-1-2 ( Athow , M153-1-4-6-14 ( CX1515-4 ( CRS3-998-24-1 , C1813 ( C1655 ( Hobbit , Century ) , Pella_86 ) ) , - ) ) ) )	-	-
K08-5898	KS5004N	TN05-5118	( KS5004N , TN05-5118 ( 560T , CX1834-1-2 ( Athow , M153-1-4-6-14 ( CX1515-4 ( CRS3-998-24-1 , C1813 ( C1655 ( Hobbit , Century ) , Pella_86 ) ) , - ) ) ) )	-	-
K08-5911	KS5004N	TN05-5118	( KS5004N , TN05-5118 ( 560T , CX1834-1-2 ( Athow , M153-1-4-6-14 ( CX1515-4 ( CRS3-998-24-1 , C1813 ( C1655 ( Hobbit , Century ) , Pella_86 ) ) , - ) ) ) )	-	-
K08-5997	K1639-2	U98-311422	( K1639-2 ( K1639 ( R93-174 ( Asgrow_A5403 , Hutcheson ) , Northrup_King_S59-60 ) , - ) , U98-311422 )	-	-
K08-6031	IA3023	K1639-2	( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , K1639-2 ( K1639 ( R93-174 ( Asgrow_A5403 , Hutcheson ) , Northrup_King_S59-60 ) , - ) )	-	-
K08-6050	IA3023	K1639-2	( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , K1639-2 ( K1639 ( R93-174 ( Asgrow_A5403 , Hutcheson ) , Northrup_King_S59-60 ) , - ) )	-	-
K09-5546	5002T	KS5004N	( 5002T , KS5004N )	-	-
K09-5553	5002T	KS5004N	( 5002T , KS5004N )	-	-
K09-5624	DS4-SCN05	5601T	( DS4-SCN05 ( Uspecified , - ) , 5601T ( Hutcheson , TN89-39 ( TN81-2 ( Lee_74 , Mitchell ( Amsoy , Wayne ) ) , TN80-69 ( Essex , J74-40 ) ) ) )	-	-
K09-5667	DS4-SCN05	5601T	( DS4-SCN05 ( Uspecified , - ) , 5601T ( Hutcheson , TN89-39 ( TN81-2 ( Lee_74 , Mitchell ( Amsoy , Wayne ) ) , TN80-69 ( Essex , J74-40 ) ) ) )	-	-
K10-1214	KS5502N	K07-91	( KS5502N ( Hartwig , KS4895 ) , K07-91 )	-	-
K10-1222	KS5502N	K07-91	( KS5502N ( Hartwig , KS4895 ) , K07-91 )	-	-
K10-4263	DS4-SCN05	KS5004N	( DS4-SCN05 ( Uspecified , - ) , KS5004N )	-	-
K10-4308	DS4-SCN05	KS5004N	( DS4-SCN05 ( Uspecified , - ) , KS5004N )	-	-
K10-4527	KS5502N	KS5004N	( KS5502N ( Hartwig , KS4895 ) , KS5004N )	-	-
K10-8556	IA3023	LD00-3309	( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) )	-	-
K10005	ST1970	Pioneer_P92B05	( ST1970 , Pioneer_P92B05 )	-	-
K1003	C1266	C1264	( C1266 ( Harosoy , C1079 ( C985 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ) , - ) ( C985 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ) ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) ( Mandarin ( PI_36653 , - ) ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ( PI_30593 , - ) ) , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) ) , - ) ) , C1264 ( Harosoy , C1079 ( C985 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ) , - ) ) )	-	-
K1004	C1266	C1265	( C1266 ( Harosoy , C1079 ( C985 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ) , - ) ( C985 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ) ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) ( Mandarin ( PI_36653 , - ) ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ( PI_30593 , - ) ) , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) ) , - ) ) , C1265 ( Harosoy , C1079 ( C985 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ) , - ) ) )	PI 548606, Pamona	-
K1007	Bonus	Cutler	( Bonus , Cutler )	-	-
K10147	XB16H	Pioneer_P91B52	( XB16H ( Syngenta_S19-90 , MO30732-51 ) , Pioneer_P91B52 )	-	-
