Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
D512-3	C171	Arksoy_2913	( C171 ( Midwest ( PI_6556 , - ) , Dunfield ( PI_36846 , - ) ) , Arksoy_2913 ( Arksoy ( PI_35335 , - ) , - ) )	-	-
D514-13	Chief	Arksoy_2913	( Chief , Arksoy_2913 ( Arksoy ( PI_35335 , - ) , - ) )	-	-
D514-20	Chief	Arksoy_2913	( Chief , Arksoy_2913 ( Arksoy ( PI_35335 , - ) , - ) )	-	-
D517-14	Arksoy	Patoka	( Arksoy ( PI_35335 , - ) , Patoka )	-	-
D517-3	Arksoy	Patoka	( Arksoy ( PI_35335 , - ) , Patoka )	-	Parentage conflict, may be Patoka x Arksoy 2913
D517-4	Arksoy	Patoka	( Arksoy ( PI_35335 , - ) , Patoka )	-	-
D52-108	N48-12-48	Perry	( N48-12-48 , Perry )	-	-
D52-131	N48-1248	Perry	( N48-1248 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , Perry )	-	-
D52-137	N48-1248	Perry	( N48-1248 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , Perry )	-	-
D52-14	N48-12-48	Adams	( N48-12-48 , Adams )	-	-
D52-16	N48-1248	Adams	( N48-1248 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , Adams )	-	-
D52-1776	D632-15	D49-2525	( D632-15 ( Dunfield ( PI_36846 , - ) , Haberlandt ( PI_6396 , - ) ) , D49-2525 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) )	-	-
