Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
G04-2656_RR	G96-2272	Benning-RR	( G96-2272 ( DPL_3776 ( Asgrow_A7986 , Asgrow_A5980 ) , G86-1267 ( D76-9665 ( Forrest , Centennial ) , Braxton ) ) , Benning-RR )	-	-
G04-2913_RR	Boggs_RR	G93-2225	( Boggs_RR ( Boggs , MON_RR ) , G93-2225 ( Cook , Coker_6727 ) )	-	-
G04-2947_RR	Boggs_RR	G93-2225	( Boggs_RR ( Boggs , MON_RR ) , G93-2225 ( Cook , Coker_6727 ) )	-	-
G04-3248_RR	Boggs_RR	G93-2225	( Boggs_RR ( Boggs , MON_RR ) , G93-2225 ( Cook , Coker_6727 ) )	-	-
G05-1102_RR	G98-1420	Hartz_H7242_RR	( G98-1420 ( Boggs , Doles ) , Hartz_H7242_RR )	-	-
G05-1200_RR	G98-1420	Hartz_H7242_RR	( G98-1420 ( Boggs , Doles ) , Hartz_H7242_RR )	-	-
G05-1209_RR	G98-1420	Hartz_H7242_RR	( G98-1420 ( Boggs , Doles ) , Hartz_H7242_RR )	-	-
G05-1481_RR	G98-1053	Hartz_H7242_RR	( G98-1053 ( Boggs , Doles ) , Hartz_H7242_RR )	-	-
G05-2324_RR	G98-2641	Hartz_H7242_RR	( G98-2641 ( G89-375 , D87-4429 ( Sharkey , LeFlore ) ) , Hartz_H7242_RR )	-	-
G05-2468_RR	G98-2641	Hartz_H7242_RR	( G98-2641 ( G89-375 , D87-4429 ( Sharkey , LeFlore ) ) , Hartz_H7242_RR )	-	-
G05-2505_RR	G98-2641	Hartz_H7242_RR	( G98-2641 ( G89-375 , D87-4429 ( Sharkey , LeFlore ) ) , Hartz_H7242_RR )	-	-
G05-3758_RR	Prichard_RR	G94-3117	( Prichard_RR ( Prichard , MON_RR ) , G94-3117 ( G86-1434 ( D79-6058 ( Tracy , Centennial ) , Twiggs ) , Hagood ) )	-	-
