Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
HS4-9864	HS99-4256	Dilworth	( HS99-4256 ( HS94-4530 ( HS88-7363 ( Voris_311 ( S10 , Mitchell ( Amsoy , Wayne ) ) , Resnik ) , HS88-4988 ( Winchester , A83-271027 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Asgrow_A3127 ( Williams , Essex ) ) ) ) , IA3004 ) , Dilworth )	-	-
HS5-3417	IA3023	HS99-4045	( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , HS99-4045 )	-	-
HS7W-190	HS1-3641	HS1-3907	( HS1-3641 ( HS94-9053 ( Pioneer_P9268-03 , Vertex ( Conrad , Hayes ) ) , Kottman ) , HS1-3907 ( Dairyland_DSR300 , HS95-2744 ) )	-	-
HS87-2067	Sherman	Madison_Gl2810	( Sherman , Madison_Gl2810 )	-	-
HS87-5720	Asgrow_A2943	A83-271027	( Asgrow_A2943 ( Asgrow_A1564 , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ) , A83-271027 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Asgrow_A3127 ( Williams , Essex ) ) )	-	-
HS88-4906	Conrad	Hayes	( Conrad , Hayes )	-	-
HS88-4909	Conrad	Hayes	( Conrad , Hayes )	-	-
HS88-4988	Winchester	A83-271027	( Winchester , A83-271027 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Asgrow_A3127 ( Williams , Essex ) ) )	-	-
HS88-7363	Voris_311	Resnik	( Voris_311 ( S10 , Mitchell ( Amsoy , Wayne ) ) , Resnik )	-	-
HS89-2966	Asgrow_A2943	A83-271027	( Asgrow_A2943 ( Asgrow_A1564 , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ) , A83-271027 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Asgrow_A3127 ( Williams , Essex ) ) )	-	-
HS89-3078	GR8936	Asgrow_A2943	( GR8936 ( Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) , Williams_82 ) , Asgrow_A2943 ( Asgrow_A1564 , Asgrow_A3127 ( Williams , Essex ) ) )	-	-
HS89-3261	LG82-8379	Asgrow_A2943	( LG82-8379 ( PI_68508 , FC_04007B ) , Asgrow_A2943 ( Asgrow_A1564 , Asgrow_A3127 ( Williams , Essex ) ) )	-	-
HS90-3487	HS84-6276	Conrad	( HS84-6276 , Conrad )	-	-
HS90-37100	HS84-6224	Conrad	( HS84-6224 , Conrad )	-	-
HS91-4825	Burlison	A86-301024	( Burlison ( K74-113-76-486 , Century ) , A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) )	-	-
HS93-135	HS88-6786	HS88-4988	( HS88-6786 , HS88-4988 ( Winchester , A83-271027 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Asgrow_A3127 ( Williams , Essex ) ) ) )	-	-
HS93-1882-41	HS88-4906	BARC-6	( HS88-4906 ( Conrad , Hayes ) , BARC-6 ( CX797-21 , D76-8070 ) )	-	-
HS93-4118	IA2007	Dairyland_DSR304	( IA2007 ( Pride_B152 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Dairyland_DSR304 ( Williams , - ) )	PI 614155	-
HS94-4530	HS88-7363	HS88-4988	( HS88-7363 ( Voris_311 ( S10 , Mitchell ( Amsoy , Wayne ) ) , Resnik ) , HS88-4988 ( Winchester , A83-271027 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Asgrow_A3127 ( Williams , Essex ) ) ) )	-	sister line of Kottman
HS94-4533	HS88-7363	HS88-4988	( HS88-7363 ( Voris_311 ( S10 , Mitchell ( Amsoy , Wayne ) ) , Resnik ) , HS88-4988 ( Winchester , A83-271027 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Asgrow_A3127 ( Williams , Essex ) ) ) )	-	sister line of Kottman
HS94-9053	Pioneer_P9268-03	Vertex	( Pioneer_P9268-03 , Vertex ( Conrad , Hayes ) )	-	-
HS96-3332	Parker	HS90-37100	( Parker , HS90-37100 ( HS84-6224 , Conrad ) )	-	-
HS96-3347	Pioneer_P9268-003	Vertex	( Pioneer_P9268-003 ( PI_92718-2 , Pioneer_P9271 ) , Vertex ( Conrad , Hayes ) )	-	-
HS96-7942	Defiance	HS91-4825	( Defiance , HS91-4825 ( Burlison ( K74-113-76-486 , Century ) , A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) ) )	-	-
HS97-4544	Pioneer_P9268-003	Vertex	( Pioneer_P9268-003 ( PI_92718-2 , Pioneer_P9271 ) , Vertex ( Conrad , Hayes ) )	-	-
HS97-4555	Pioneer_P9268-003	Vertex	( Pioneer_P9268-003 ( PI_92718-2 , Pioneer_P9271 ) , Vertex ( Conrad , Hayes ) )	-	-
HS97-5261	HS94-4530	IA3004	( HS94-4530 ( HS88-7363 ( Voris_311 ( S10 , Mitchell ( Amsoy , Wayne ) ) , Resnik ) , HS88-4988 ( Winchester , A83-271027 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Asgrow_A3127 ( Williams , Essex ) ) ) ) , IA3004 )	-	-
HS97-5609	Defiance	Flint	( Defiance , Flint )	-	-
HS98-3216	LG82-8379	Asgrow_A2943	( LG82-8379 ( PI_68508 , FC_04007B ) , Asgrow_A2943 ( Asgrow_A1564 , Asgrow_A3127 ( Williams , Essex ) ) )	-	-
HS98-3628	Defiance	HS91-4825	( Defiance , HS91-4825 ( Burlison ( K74-113-76-486 , Century ) , A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) ) )	-	-
HS98-7826	HS93-4118	Savoy	( HS93-4118 ( IA2007 ( Pride_B152 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Dairyland_DSR304 ( Williams , - ) ) , Savoy )	-	-
HS99-4256	HS94-4530	IA3004	( HS94-4530 ( HS88-7363 ( Voris_311 ( S10 , Mitchell ( Amsoy , Wayne ) ) , Resnik ) , HS88-4988 ( Winchester , A83-271027 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Asgrow_A3127 ( Williams , Essex ) ) ) ) , IA3004 )	-	-
HS99-4426	HS94-4530	IA3004	( HS94-4530 ( HS88-7363 ( Voris_311 ( S10 , Mitchell ( Amsoy , Wayne ) ) , Resnik ) , HS88-4988 ( Winchester , A83-271027 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Asgrow_A3127 ( Williams , Essex ) ) ) ) , IA3004 )	-	-
HSC_B2J	J74-116	D70-3186	( J74-116 ( Centennial , J74-47 ) , D70-3186 ( Centennial , - ) )	B2-JQ, PI 556893	PVP 8800147, Hyperformer Seed, Co.
HS_220	M59-213	Wayne	( M59-213 , Wayne )	PI 556605	Agripro Seeds, Inc., PVP 8100007
HS_235	C1426	Kent	( C1426 ( C1253 ( Blackhawk , Harosoy ) , Kent ) , Kent )	PI 556624	Advanta USA, Inc., PVP 8100008
HS_2533	Weber	Asgrow_A2943	( Weber , Asgrow_A2943 ( Asgrow_A1564 , Asgrow_A3127 ( Williams , Essex ) ) )	PI 540876	Growmark, Inc., PVP 9000159
HS_265	C1470	Ogden	( C1470 , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) )	PI 556606	Agripro Seeds, Inc., PVP 8100009
HW6942-15-6	Calland	Beeson	( Calland , Beeson )	-	-
HW74-3382	Williams	Ransom	( Williams , Ransom )	-	-
HW7847	Evans	Williams	( Evans , Williams )	-	-
HW79002	Woodworth	L60-347-1-60-28	( Woodworth , L60-347-1-60-28 ( Harosoy , Higan ( PI_80475 , - ) ) )	-	sib to OX720-26
HW79015	A72-512	Oakland	( A72-512 ( Amsoy , Wayne ) , Oakland ( L66L-137 ( Wayne , L57-0034 ( Clark , Adams ) ) , Calland ) )	-	-
HW79022	Woodworth	L60-347-l-60-2B	( Woodworth , L60-347-l-60-2B )	-	-
HW79054	Cumberland	Pella	( Cumberland , Pella )	-	-
HW79116	Cumberland	Pella	( Cumberland , Pella )	-	-
HW8008	L69U40-16-4	Century	( L69U40-16-4 ( Calland , Amsoy ) , Century )	-	-
HW8028	A75-10521	Century	( A75-10521 , Century )	-	-
HW8123	A76-202015	A76-304005	( A76-202015 ( AP6 , - ) , A76-304005 )	-	-
HW8130	Pella	A75-105021	( Pella , A75-105021 )	-	-
HW8225	Hobbit	-	( Hobbit , - )	-	EMS isoline mutant
HW8236	Hobbit	-	( Hobbit , - )	-	EMS isoline mutant
HW8371	HW79149	Williams_79	( HW79149 , Williams_79 )	-	-
HW_79022	Woodworth	L70-347-1-60-2B	( Woodworth , L70-347-1-60-2B )	-	-
Habaro	PI_20405	-	( PI_20405 , - )	PI 548336	Selection from PI 20405
Haberlandt	PI_6396	-	( PI_6396 , - )	PI 548456	Selection from PI 6396
Hale_3	D51-4969	-	( D51-4969 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , - )	-	Selection from D51-4969
Hale_Ogden_#12	Ogden	-	( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , - )	-	Selection from Ogden
Hale_Ogden_#2	Ogden	-	( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , - )	-	Selection from Ogden
Hampton	Majos	Lee	( Majos ( Tokyo ( PI_8424 , - ) , Yelredo ( Mammoth_Yellow , Laredo ) ) , Lee )	Coker Hampton, PI 614156, Co57-225	Released 1962, Coker's Pedigreed Seed Co.
Hampton_266	Majos	Lee	( Majos ( Tokyo ( PI_8424 , - ) , Yelredo ( Mammoth_Yellow , Laredo ) ) , Lee )	-	-
Harman_	Manchu	-	( Manchu ( PI_30593 , - ) , - )	PI 548340	Selection from Manchu
Hartz_5545	H78-168	Narow	( H78-168 ( D70-3115 ( D64-4636 ( Hill , D58-3311 ) , Pickett_71 ) , Forrest ) , Narow )	-	-
Hartz_7190	D73-9442	Ransom	( D73-9442 , Ransom )	PI 542972	Monsanto Technology, LLC, PVP 9000214
Hartz_914	H78-B18	H78-B2	( H78-B18 , H78-B2 )	PI 538024	Monsanto Technology, LLC, PVP 9000083
Hartz_922	Hartz_930	Hartz_936X	( Hartz_930 ( D71-4538 , Mack ) , Hartz_936X ( D71-4538 , H16-11 ) )	PI 542053	Monsanto Technology, LLC, PVP 9000178
Hartz_930	D71-4538	Mack	( D71-4538 , Mack )	PI 556699	Monsanto Technology, LLC, PVP 8200127
Hartz_936X	D71-4538	H16-11	( D71-4538 , H16-11 )	PI 556619	Monsanto Technology, LLC, PVP 8100080
Hartz_H3570	D70-3115	Forrest	( D70-3115 ( D64-4636 ( Hill , D58-3311 ) , Pickett_71 ) , Forrest )	-	-
Hartz_H4464	Hartz_H78-938	Fayette	( Hartz_H78-938 ( D70-3115 ( D64-4636 ( Hill , D58-3311 ) , Pickett_71 ) , La74-3850 ( Forrest , Mack ) ) , Fayette )	85-5061	PVP 9200153
Hartz_H5033	Asgrow_A5474	Essex	( Asgrow_A5474 , Essex )	-	-
Hartz_H7703	Beeson	Wells	( Beeson , Wells )	-	-
Hartz_H78-938	D70-3115	La74-3850	( D70-3115 ( D64-4636 ( Hill , D58-3311 ) , Pickett_71 ) , La74-3850 ( Forrest , Mack ) )	-	-
Haskell-RR	Haskell	MON_RR	( Haskell , MON_RR )	USG 7732nRR	Actual parentage not specified
Hayseed	PI_71525	-	( PI_71525 , - )	PI 548459	Selected from PI 71525, Nanking, Cn 1927
Higan	PI_80475	-	( PI_80475 , - )	PI 548342	Selection from PI 80475
Holmberg_744-2	377-8-1	Blackeye_Edible	( 377-8-1 , Blackeye_Edible )	PI 194641	-
Holmberg_827-4	PI_438473	-	( PI_438473 , - )	Fiskeby 827-4-23, VIR 5593	Bulletin 1846
Holmberg_840-1-3	201-14-20	Muncheberg	( 201-14-20 , Muncheberg )	-	-
Holmberg_840-7-3	201-14-20	680+993+994	( 201-14-20 , 680+993+994 )	-	-
Holt	Sherman	Harper	( Sherman , Harper )	PI 561858	-
Hyuuga	Akasaya	Ako_Musume	( Akasaya ( Landrace , - ) , Ako_Musume ( Tamanishike ( Landrace , - ) , Iyo ( Landrace , - ) ) )	PI 506764	Tofu line from Kyushu Isl. Japan, JPR 2011 5:118-122
