Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
ORC_9002	A81-151026	Eglin	( A81-151026 ( A75-204018 ( IVR_4731 ( Amsoy , Wayne ) , Wirth ) , Century ) , Eglin ( AP6 , - ) )	-	-
ORC_9205	Conrad	RCAT_Alliance	( Conrad , RCAT_Alliance ( Wells_II , Williams_82 ) )	-	-
ORC_9404	ORC_8703	Northrup_King_S26-06	( ORC_8703 ( Hodgson , FH22-815 ) , Northrup_King_S26-06 )	-	-
ORC_9803	PS_42	Northrup_King_S20-20	( PS_42 ( Premier , BK22-1-3 ) , Northrup_King_S20-20 )	-	-
ORC_9808	Pioneer_P9273	Pride_B152	( Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) , Pride_B152 )	-	-
OT80-2	Maple_Presto	Evans	( Maple_Presto , Evans )	-	-
OT81-6	Maple_Presto	Evans	( Maple_Presto , Evans )	-	-
OT84-14	Maple_Arrow	Wayne	( Maple_Arrow , Wayne )	-	-
OT84-14BR	Maple_Arrow	Wayne	( Maple_Arrow , Wayne )	-	-
OT84-7	231-4-5-1	McCall	( 231-4-5-1 , McCall )	-	-
OT86-1	Coles	DO-9-2-1-2	( Coles , DO-9-2-1-2 )	-	-
OT88-1	BD22115-13	Weber	( BD22115-13 , Weber )	-	-
OT88-11	Maple_Ridge	Lakota	( Maple_Ridge , Lakota )	-	-
OT89-16	AC_Proteus	-	( AC_Proteus , - )	-	Selection from AC Proteus
OT89-18	Maple_Arrow	X881-57	( Maple_Arrow , X881-57 )	-	-
OT89-24	OX611	Maple_Presto	( OX611 , Maple_Presto )	-	-
OT92-8	Baron	Maple_Donovan	( Baron , Maple_Donovan )	-	-
OW0800084	97026-N99-42648	MT103884	( 97026-N99-42648 , MT103884 ( X006 ( Syngenta_S19-90 , MP91133 ) , Syngenta_S25-J5 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) ) )	-	-
OW0800367	G1490N	03KL015826	( G1490N , 03KL015826 ( Syngenta_S10-F2 ( Exp_91133 , Exp_C319428 ( McCall , S19-90 ) ) , Pioneer_P91B92 ) )	-	-
OW0902053	03KL015366	Syngenta_S05-T6	( 03KL015366 ( Syngenta_S18-N5 ( Asgrow_A3431 , Syngenta_S18-11 ) , MT803006 ( ST2621 , Pioneer_P9172 ) ) , Syngenta_S05-T6 )	-	-
OX-85242-3	C3S1-57	C3S1-53	( C3S1-57 , C3S1-53 )	-	-
OX-85251-16	C3S1-62	C3S1-53	( C3S1-62 , C3S1-53 )	-	-
OX-85284-4	C3S1-71	C3S1-69	( C3S1-71 , C3S1-69 )	-	-
OX-89182-2-1	OX-8601-1	OX-85284-4	( OX-8601-1 , OX-85284-4 ( C3S1-71 , C3S1-69 ) )	-	-
OX-89194-1-8	OX-85242-3	OX-85251-16	( OX-85242-3 ( C3S1-57 , C3S1-53 ) , OX-85251-16 ( C3S1-62 , C3S1-53 ) )	-	-
OX-Hodgson_1cHm	Hodgson	M75-2	( Hodgson , M75-2 )	PI 548641, Haroson	-
OX383	Corsoy	Harosoy_63	( Corsoy , Harosoy_63 )	-	-
OX720-26	Harosoy	Higan	( Harosoy , Higan ( PI_80475 , - ) )	L60-347-l-60-28 	-
OX752	A83-378001	OX736	( A83-378001 , OX736 )	-	-
OXC-9227-4	OX-89182-2-1	OX-89194-1-8	( OX-89182-2-1 ( OX-8601-1 , OX-85284-4 ( C3S1-71 , C3S1-69 ) ) , OX-89194-1-8 ( OX-85242-3 ( C3S1-57 , C3S1-53 ) , OX-85251-16 ( C3S1-62 , C3S1-53 ) ) )	-	-
OXC-9227-7	OX-89182-2-1	OX-89194-1-8	( OX-89182-2-1 ( OX-8601-1 , OX-85284-4 ( C3S1-71 , C3S1-69 ) ) , OX-89194-1-8 ( OX-85242-3 ( C3S1-57 , C3S1-53 ) , OX-85251-16 ( C3S1-62 , C3S1-53 ) ) )	-	-
OXR-96243	Northrup_King_S29-18	PI_274421	( Northrup_King_S29-18 , PI_274421 )	-	-
OXR961095	Resnik_RR	HS93-1882-41	( Resnik_RR , HS93-1882-41 ( HS88-4906 ( Conrad , Hayes ) , BARC-6 ( CX797-21 , D76-8070 ) ) )	-	-
Oakland	L66L-137	Calland	( L66L-137 ( Wayne , L57-0034 ( Clark , Adams ) ) , Calland )	PI 548543, A74-303013 	PVP 7900062
Ogden	Tokyo	PI_54610	( Tokyo ( PI_8424 , - ) , PI_54610 )	PI 548477	-
Ohio_FG1	LS301	HS84-6247	( LS301 ( A79-140022 , A79-140011 ) , HS84-6247 )	PI 584469, HS90-3508	PVP 9500038
Otootan	PI_548479	-	( PI_548479 , - )	-	no previous name; Selection from an introduction, Released 1918
Ottawa	Chippewa	-	( Chippewa , - )	PI 548673	Rogue selection from Chippewa
