Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
EX15N01	30337R089	Pioneer_P92B52	( 30337R089 ( Pioneer_P9162 ( Pioneer_P2981 , Asgrow_A1937 ( Hodgson , D3003 ( Wayne , - ) ) ) ( Pioneer_P2981 , Asgrow_A1937 ( Hodgson , D3003 ( Wayne , - ) ) ( Hodgson , D3003 ( Wayne , - ) ( Wayne , - ) ) ) , 30289F2 ( Pioneer_P9162 ( Pioneer_P2981 , Asgrow_A1937 ( Hodgson , D3003 ( Wayne , - ) ) ) , 30214 ( Pioneer_P9341 , 30129 ( XB33B ( CM304BR , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ) ( CM304BR , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ( Williams , Essex ) ) , 30107 ( XB33B ( CM304BR , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ) , 5961 ( Asgrow_A3733 ( Elf , Asgrow_A3127 ( Williams , Essex ) ) , Resnik ) ) ) ) ) ) , Pioneer_P92B52 )	-	-
EX21Q04	YB22N	Pioneer_P92B63	( YB22N ( MO01718 ( MO50321 ( MO01010 ( Harcor , CM183 ) ( Harcor , CM183 ) , A8 ) , MO50226 ( ST3010 , MO01010 ( Harcor , CM183 ) ) ) , Pioneer_P9171 ( Pioneer_P9271 , Asgrow_A3127 ( Williams , Essex ) ) ) , Pioneer_P92B63 )	-	-
EX24P05	Pioneer_P92B38	EX28Q01	( Pioneer_P92B38 , EX28Q01 ( MO25731 , Pioneer_P9306 ) )	-	-
EX26C03	Pioneer_P92B52	ST3870	( Pioneer_P92B52 , ST3870 )	-	-
EX28Q01	MO25731	Pioneer_P9306	( MO25731 , Pioneer_P9306 )	-	-
EX29E04	ST3643	XB29V99	( ST3643 , XB29V99 ( Pioneer_P93B82 , 91013F2 ( W30132-004 , 90753 ( ST2250 , 90682 ( Pioneer_P9342 , G40-3P9341 ) ) ) ) )	-	-
EX29F04	ST3643	XB29V99	( ST3643 , XB29V99 ( Pioneer_P93B82 , 91013F2 ( W30132-004 , 90753 ( ST2250 , 90682 ( Pioneer_P9342 , G40-3P9341 ) ) ) ) )	-	-
EX32K06	Pioneer_P93B15	Pioneer_P93B82	( Pioneer_P93B15 , Pioneer_P93B82 )	-	-
EX32M02	ST3883	Pioneer_P93B51	( ST3883 , Pioneer_P93B51 )	-	-
EX32S02	ST3171	Pioneer_P93B82	( ST3171 , Pioneer_P93B82 )	-	-
EX33M07	Pioneer_P93B15	IA3018	( Pioneer_P93B15 , IA3018 )	-	-
EX35B06	Pioneer_P93B66	EX36Y01	( Pioneer_P93B66 , EX36Y01 ( CM428 , ST3380 ) )	-	-
EX36Y01	CM428	ST3380	( CM428 , ST3380 )	-	-
EX39E00	MO14426	Pioneer_P93B82	( MO14426 , Pioneer_P93B82 )	-	-
EX40U03	YB42D	Pioneer_P94B22	( YB42D ( XB43B ( Pioneer_P9391 , Asgrow_A3733 ( Elf , Asgrow_A3127 ( Williams , Essex ) ) ) , W6471M010 ( 6347 ( Cartter , Asgrow_A3307 ) , 6363 ( Cartter , Pioneer_P9272 ) ) ) , Pioneer_P94B22 )	-	-
EX48Q02	ST3883	CM428	( ST3883 , CM428 )	-	-
EX53F03	Pioneer_P9482	Pioneer_P9481	( Pioneer_P9482 , Pioneer_P9481 )	-	-
EX53P06	YB55H00	YB52J00	( YB55H00 ( Pioneer_P9594 , S6423 ) , YB52J00 ( Wicomico , Pioneer_P95B32 ) )	-	-
EX55N04	YB52H	ST3680	( YB52H ( W4850-011 ( J81-116 , Y186402 ( 1190-19 ( Mack , Forrest ) , Asgrow_A3127 ( Williams , Essex ) ) ) , Pioneer_P9521 ( Pioneer_P9531 , Pioneer_P9561 ( Mack , Forrest ) ) ) , ST3680 )	-	-
EX55Q05	W8692-462	Pioneer_P9552	( W8692-462 ( Asgrow_A5979 , Hutcheson ) , Pioneer_P9552 )	-	-
EX56N05	Pioneer_P95B34	Pioneer_P95B95	( Pioneer_P95B34 , Pioneer_P95B95 )	-	-
Eglin	AP6	-	( AP6 , - )	-	-
Erie	A78-123018	Century_84	( A78-123018 ( Pride_B216 ( Corsoy , Wayne ) , Hodgson ) , Century_84 )	PI 561700	-
Exp_C319428	McCall	S19-90	( McCall , S19-90 )	Exp. C319428, C319428	-
