Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
LS01-3450	LS93-0375	Delta_King_DK420c	( LS93-0375 ( Asgrow_A3935 ( M0474C ( Mitchell ( Amsoy , Wayne ) , - ) , Asgrow_A3127 ( Williams , Essex ) ) , Pioneer_P9402 ) , Delta_King_DK420c )	-	-
LS01-3615	LS93-0375	Mustang	( LS93-0375 ( Asgrow_A3935 ( M0474C ( Mitchell ( Amsoy , Wayne ) , - ) , Asgrow_A3127 ( Williams , Essex ) ) , Pioneer_P9402 ) , Mustang )	-	-
LS02-4045	K1370	LS94-3207	( K1370 ( Delsoy_4210 ( L77-1233 , Douglas ) , Asgrow_A3935 ( M0474C ( Mitchell ( Amsoy , Wayne ) , - ) , Asgrow_A3127 ( Williams , Essex ) ) ) , LS94-3207 ( Pharaoh ( Forrest , V71-480 ( V63-76 ( Hill , D53-354 ( D49-2525 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ( S-100 ( Illini ( A.K. , - ) , - ) ( Illini ( A.K. , - ) ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ( Clemson ( PI_71659 , - ) ( PI_71659 , - ) , - ) ) , L46-5679 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Richland ) ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) ( Mandarin ( PI_36653 , - ) ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ( PI_30593 , - ) ) , Richland ) ) ) , V66-318 ( D53-184 ( D49-2525 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) , L46-5679 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Richland ) ) , J22 ( L37-1355 ( PI_81041 , - ) , Arksoy_2913 ( Arksoy ( PI_35335 , - ) , - ) ) ) ) ) , Hartwig ) )	-	-
LS03-4303	Pana	TN96-58	( Pana , TN96-58 )	-	-
LS07-1343	LN97-15076	LD02-4485	( LN97-15076 ( Macon , Stressland ) , LD02-4485 ( M90-184111 ( L85P-558 ( L73-4673 ( Corsoy , L66L-154 ( Wayne , L57-0034 ( Clark , Adams ) ) ) , Fayette ) , M86-1973 ( M75-89 ( Corsoy , M68-303 ( M60-406 ( Blackhawk , Harosoy ) , Beeson ) ) , L77-906 ) ) , IA3010 ) )	-	-
LS07-1348	LN97-15076	LD02-4485	( LN97-15076 ( Macon , Stressland ) , LD02-4485 ( M90-184111 ( L85P-558 ( L73-4673 ( Corsoy , L66L-154 ( Wayne , L57-0034 ( Clark , Adams ) ) ) , Fayette ) , M86-1973 ( M75-89 ( Corsoy , M68-303 ( M60-406 ( Blackhawk , Harosoy ) , Beeson ) ) , L77-906 ) ) , IA3010 ) )	-	-
LS07-1934	SS98-7851	LD01-5907	( SS98-7851 ( Pioneer_P9362 , Magellan ( Sherman , Harper ) ) , LD01-5907 ( Ina ( Jack , Hartwig ) , IA3010 ) )	-	-
LS07-2935	SS98-7851	LD00-3309	( SS98-7851 ( Pioneer_P9362 , Magellan ( Sherman , Harper ) ) , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) )	-	-
LS07-3070	SS98-7851	LD00-3309	( SS98-7851 ( Pioneer_P9362 , Magellan ( Sherman , Harper ) ) , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) )	-	-
LS07-3125	SS98-7851	LD00-3309	( SS98-7851 ( Pioneer_P9362 , Magellan ( Sherman , Harper ) ) , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) )	-	-
LS07-3843	LS99-3619	LS99-3630	( LS99-3619 ( LS79-238 , KY88-4080 ( K1099 ( K1022 ( Williams , Columbus ) , Essex ) , Hutcheson ) ( K1099 ( K1022 ( Williams , Columbus ) , Essex ) ( K1022 ( Williams , Columbus ) ( Williams , Columbus ) , Essex ) , Hutcheson ) ) , LS99-3630 ( LS79-238 , KY88-4080 ( K1099 ( K1022 ( Williams , Columbus ) , Essex ) , Hutcheson ) ) )	-	-
LS07-3935	LS99-3619	LS99-3630	( LS99-3619 ( LS79-238 , KY88-4080 ( K1099 ( K1022 ( Williams , Columbus ) , Essex ) , Hutcheson ) ( K1099 ( K1022 ( Williams , Columbus ) , Essex ) ( K1022 ( Williams , Columbus ) ( Williams , Columbus ) , Essex ) , Hutcheson ) ) , LS99-3630 ( LS79-238 , KY88-4080 ( K1099 ( K1022 ( Williams , Columbus ) , Essex ) , Hutcheson ) ) )	-	-
LS07-4020	LS99-3619	LS99-3630	( LS99-3619 ( LS79-238 , KY88-4080 ( K1099 ( K1022 ( Williams , Columbus ) , Essex ) , Hutcheson ) ( K1099 ( K1022 ( Williams , Columbus ) , Essex ) ( K1022 ( Williams , Columbus ) ( Williams , Columbus ) , Essex ) , Hutcheson ) ) , LS99-3630 ( LS79-238 , KY88-4080 ( K1099 ( K1022 ( Williams , Columbus ) , Essex ) , Hutcheson ) ) )	-	-
LS07-4035	LS99-3619	LS99-3630	( LS99-3619 ( LS79-238 , KY88-4080 ( K1099 ( K1022 ( Williams , Columbus ) , Essex ) , Hutcheson ) ( K1099 ( K1022 ( Williams , Columbus ) , Essex ) ( K1022 ( Williams , Columbus ) ( Williams , Columbus ) , Essex ) , Hutcheson ) ) , LS99-3630 ( LS79-238 , KY88-4080 ( K1099 ( K1022 ( Williams , Columbus ) , Essex ) , Hutcheson ) ) )	-	-
LS07-4536	N7001	LS93-3630	( N7001 , LS93-3630 )	-	-
LS08-4934	LS00-4221	LS01-1158	( LS00-4221 ( LS92-3660 ( Resnik , Asgrow_A5474 ) , Asgrow_A4138 ) , LS01-1158 ( LS92-4173 ( Flyer , Pyramid ) , DeKalb_339c ) )	-	-
LS08-5552	LS97-3617	LS98-0582	( LS97-3617 ( Flyer , Asgrow_A4138 ) , LS98-0582 ( Northrup_King_S46-44 , Asgrow_A4138 ) )	-	-
LS08-5837	LS93-0375	LS98-0582	( LS93-0375 ( Asgrow_A3935 ( M0474C ( Mitchell ( Amsoy , Wayne ) , - ) , Asgrow_A3127 ( Williams , Essex ) ) , Pioneer_P9402 ) , LS98-0582 ( Northrup_King_S46-44 , Asgrow_A4138 ) )	-	-
LS08-5852	LS93-0375	LS98-0582	( LS93-0375 ( Asgrow_A3935 ( M0474C ( Mitchell ( Amsoy , Wayne ) , - ) , Asgrow_A3127 ( Williams , Essex ) ) , Pioneer_P9402 ) , LS98-0582 ( Northrup_King_S46-44 , Asgrow_A4138 ) )	-	-
LS08-6003	MD96-5722	LS01-0971	( MD96-5722 ( KS4694 ( Sherman , Toano ( Ware , Essex ) ) , Corsica ) , LS01-0971 ( LS92-4173 ( Flyer , Pyramid ) , DeKalb_339c ) )	-	-
LS08-6034	MD96-5722	LS01-0971	( MD96-5722 ( KS4694 ( Sherman , Toano ( Ware , Essex ) ) , Corsica ) , LS01-0971 ( LS92-4173 ( Flyer , Pyramid ) , DeKalb_339c ) )	-	-
LS08-6332	LS00-1755	5002T	( LS00-1755 ( K1307 ( K1133 ( V75-345 ( Essex , Shore ) , S76-2120 ( D67-3297 , Essex ) ) , R85-3309 ) , LS92-4357 ( Ripley , Asgrow_A5474 ) ) , 5002T )	-	-
LS09-0333	LS00-1755	U01-290401	( LS00-1755 ( K1307 ( K1133 ( V75-345 ( Essex , Shore ) , S76-2120 ( D67-3297 , Essex ) ) , R85-3309 ) , LS92-4357 ( Ripley , Asgrow_A5474 ) ) , U01-290401 )	-	-
LS09-0340	LS00-1755	U01-290401	( LS00-1755 ( K1307 ( K1133 ( V75-345 ( Essex , Shore ) , S76-2120 ( D67-3297 , Essex ) ) , R85-3309 ) , LS92-4357 ( Ripley , Asgrow_A5474 ) ) , U01-290401 )	-	-
