Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
V07-9496	S99-2281	R98-1817	( S99-2281 ( N90-516 ( Hutcheson , N83-1014 ( GaSoy_17 ( Bragg , Hood ) , N77-940 ( N70-1540 ( Dare , D65-6765 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Centennial ) ) ) , S92-1069 ( Manokin , Hartwig ) ) , R98-1817 )	-	SCN
V07-9734	MD97-6065	MD98-5579	( MD97-6065 ( Manokin , Holladay ) , MD98-5579 ( S91-5371-19 , LN89-3615 ( Hobbit_87 , Asgrow_A3205 ( Northrup_King_S1474 , Asgrow_A3127 ( Williams , Essex ) ) ) ) )	-	SCN
V07-9764	TN97-167	V99-8097	( TN97-167 ( TN89-39 ( TN81-2 ( Lee_74 , Mitchell ( Amsoy , Wayne ) ) , TN80-69 ( Essex , J74-40 ) ) , Manokin ) , V99-8097 )	-	SCN
V08-0062	DT99-17400	99VPI-67	( DT99-17400 ( UARK-5798 ( Hutcheson , Waters ) , Bolivar ) , 99VPI-67 )	-	-
V08-0136	99VPI-67	S00-9925-10	( 99VPI-67 , S00-9925-10 ( K1393 ( KS5292 , Hutcheson ) , Anand ) )	-	Det.
V08-1909	S00-9925-10	S00-9985-03	( S00-9925-10 ( K1393 ( KS5292 , Hutcheson ) , Anand ) , S00-9985-03 ( HY_574 , Anand ) )	-	Det.
V08-1924	S00-9925-10	S00-9985-03	( S00-9925-10 ( K1393 ( KS5292 , Hutcheson ) , Anand ) , S00-9985-03 ( HY_574 , Anand ) )	-	Det.
V08-2377	G98-1053	V00-7339	( G98-1053 ( Boggs , Doles ) , V00-7339 )	-	Det.
V08-2412	DT99-17400	Teejay	( DT99-17400 ( UARK-5798 ( Hutcheson , Waters ) , Bolivar ) , Teejay )	-	Det.
V08-2455	DT99-17400	Teejay	( DT99-17400 ( UARK-5798 ( Hutcheson , Waters ) , Bolivar ) , Teejay )	-	Det.
V09-0610	V98-2711	DPL_3519s	( V98-2711 ( V88-466 ( Coker_237 ( Hutton , N63-858 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Toano ( Ware , Essex ) ) , Pioneer_P9461 ) , DPL_3519s )	-	-
V09-1268	R02-1372	V98-2711	( R02-1372 , V98-2711 ( V88-466 ( Coker_237 ( Hutton , N63-858 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Toano ( Ware , Essex ) ) , Pioneer_P9461 ) )	-	-
V09-1276	R02-1372	V98-2711	( R02-1372 , V98-2711 ( V88-466 ( Coker_237 ( Hutton , N63-858 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Toano ( Ware , Essex ) ) , Pioneer_P9461 ) )	-	-
V09-1470	V98-2711	LG00-6925	( V98-2711 ( V88-466 ( Coker_237 ( Hutton , N63-858 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Toano ( Ware , Essex ) ) , Pioneer_P9461 ) , LG00-6925 ( IA2022 , LG91-6859 ( LG87-429 ( PI_297544 , PI_290126_B ) , Zane ) ) )	-	-
V09-1558	V98-2711	LG00-6925	( V98-2711 ( V88-466 ( Coker_237 ( Hutton , N63-858 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Toano ( Ware , Essex ) ) , Pioneer_P9461 ) , LG00-6925 ( IA2022 , LG91-6859 ( LG87-429 ( PI_297544 , PI_290126_B ) , Zane ) ) )	-	-
V09-2026	Teejay	LG00-6925	( Teejay , LG00-6925 ( IA2022 , LG91-6859 ( LG87-429 ( PI_297544 , PI_290126_B ) , Zane ) ) )	-	-
V09-2056	Teejay	LG00-6925	( Teejay , LG00-6925 ( IA2022 , LG91-6859 ( LG87-429 ( PI_297544 , PI_290126_B ) , Zane ) ) )	-	-
V09-2274	V01-2245	LG00-3372	( V01-2245 ( V91-0223 ( Stafford , Hutcheson ) , V91-3036_ ) , LG00-3372 ( PI_561319 , PI_574477 ) )	-	-
V09-2618	DT99-17400	V96-0340	( DT99-17400 ( UARK-5798 ( Hutcheson , Waters ) , Bolivar ) , V96-0340 )	-	-
