Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
N02992	Pioneer_P93B82	Pioneer_P93B53	( Pioneer_P93B82 , Pioneer_P93B53 )	-	-
N03-11895	Boggs	PI_437726	( Boggs , PI_437726 )	-	-
N03-11936	Boggs	PI_471931	( Boggs , PI_471931 )	-	-
N03-7183	Cook	Archer	( Cook , Archer )	-	50% Archer, which is Group I
N03-832	N94-537	K1424	( N94-537 ( Cook , Clifford ) , K1424 ( Hutcheson , Asgrow_A4715 ) )	-	-
N03-893	N96-752	TN93-99	( N96-752 ( N87-298 , Cook ) , TN93-99 )	-	-
N03287	Pioneer_P92B61	YB32X	( Pioneer_P92B61 , YB32X ( Pioneer_P9281 , 21097 ( Asgrow_A3237 , 21063 ( Asgrow_A3237 , 90683C ( Pioneer_P9362 , G40-3P9392 ) ) ) ) )	-	-
N04-8801	N98-7893	N96-6717	( N98-7893 , N96-6717 ( NTCPR92-64 ( Young , Suzuyataka ) , NTCPR92-5 ( D74-9806 , Nakasennari ( PI_507079 , - ) ) ) )	-	12.5% PI 416937,12.5% Suzuyataka, 25% Nakasennari
N04-8803	N98-7893	N96-6717	( N98-7893 , N96-6717 ( NTCPR92-64 ( Young , Suzuyataka ) , NTCPR92-5 ( D74-9806 , Nakasennari ( PI_507079 , - ) ) ) )	-	-
N04-8814	N98-7893	N93-7133	( N98-7893 , N93-7133 ( Young , Enrei ) )	-	25% Enrei, 12.5% PI 416937, 12.5% Nakasennari
N04-8826	N98-7893	NTCPR93-646	( N98-7893 , NTCPR93-646 ( Young , Suzuyataka ) )	-	-
N04-8830	N98-7893	NTC93PR-646	( N98-7893 , NTC93PR-646 )	-	12.5% PI 416937, 25% Suzuyataka, 12.5% Nakasennari
N04-8866	NTCPR96-1215	N96-6717	( NTCPR96-1215 ( Young , Tanbaguro ) , N96-6717 ( NTCPR92-64 ( Young , Suzuyataka ) , NTCPR92-5 ( D74-9806 , Nakasennari ( PI_507079 , - ) ) ) )	-	25% Tanbaguro, 12.5% Suzuyataka, 12.5% Nakasennari
N04-8884	NTCPR96-1215	NTCPR93-646	( NTCPR96-1215 ( Young , Tanbaguro ) , NTCPR93-646 ( Young , Suzuyataka ) )	-	25% Tanbaguro, 25% Suzuyataka
N04-8947	N96-6894	N97-9812	( N96-6894 ( M90-7216 , N90-7202 ( N77-114 ( Essex , N70-2173 ( Hampton ( Majos ( Tokyo ( PI_8424 , - ) , Yelredo ( Mammoth_Yellow , Laredo ) ) , Lee ) , Ransom ) ) , PI_416937 ) ) , N97-9812 ( N90-7199 , N91-7254 ( Davis , PI_416937 ) ) )	-	Diversity 50% PI 416937
N04-9646	Boggs	NTCPR94-5157	( Boggs , NTCPR94-5157 ( Davis , N73-1102 ( Tracy , Ransom ) ) )	-	Slow Wilt
N04-9649	Boggs	MTCPR-5157	( Boggs , MTCPR-5157 )	-	-
N04-9859	N94-7440	N96-6733	( N94-7440 ( NTCPR90-143 ( GaSoy17 , Vance ) , Pearl ( G80-1515 ( Pickett_71 , Bedford ) , Vance ) ) , N96-6733 )	-	Diversity 12.5%
N05-316_	NC-Roy	N96-6752	( NC-Roy , N96-6752 ( N91-7202 , N90-7199 ) )	-	25% PI 416937
N05-7085	N94-7350	N96-6717	( N94-7350 ( Young , Suzutaka ) , N96-6717 ( NTCPR92-64 ( Young , Suzuyataka ) , NTCPR92-5 ( D74-9806 , Nakasennari ( PI_507079 , - ) ) ) )	-	37.5% Suzuyataka, 12.5% Nakasennari
N05-7260	N96-6809	N96-7031_	( N96-6809 ( N90-7202 ( N77-114 ( Essex , N70-2173 ( Hampton ( Majos ( Tokyo ( PI_8424 , - ) , Yelredo ( Mammoth_Yellow , Laredo ) ) , Lee ) , Ransom ) ) , PI_416937 ) , N90-7199 ) , N96-7031_ )	-	Diversity 50% PI 416937
N05-7281	N96-6809	N98-7265	( N96-6809 ( N90-7202 ( N77-114 ( Essex , N70-2173 ( Hampton ( Majos ( Tokyo ( PI_8424 , - ) , Yelredo ( Mammoth_Yellow , Laredo ) ) , Lee ) , Ransom ) ) , PI_416937 ) , N90-7199 ) , N98-7265 ( Hutcheson , PI_471938 ) )	-	25% PI 416937, 25% PI 471938
N05-7353	N7002	N98-7265	( N7002 ( N7001 , Cook ) , N98-7265 ( Hutcheson , PI_471938 ) )	-	Drought
N05-7375	N7002	N98-7265	( N7002 ( N7001 , Cook ) , N98-7265 ( Hutcheson , PI_471938 ) )	-	Drought
N05-7380	N7002	N98-7265	( N7002 ( N7001 , Cook ) , N98-7265 ( Hutcheson , PI_471938 ) )	-	-
N05-7396	N7002	N98-7265	( N7002 ( N7001 , Cook ) , N98-7265 ( Hutcheson , PI_471938 ) )	-	Diversity,Drought 12.5%
N05-7432	N7002	N98-7265_	( N7002 ( N7001 , Cook ) , N98-7265_ )	-	Drought
N05-7452	N7002	5601T_	( N7002 ( N7001 , Cook ) , 5601T_ )	-	-
N05-7462	5601T	N96-6809_	( 5601T ( Hutcheson , TN89-39 ( TN81-2 ( Lee_74 , Mitchell ( Amsoy , Wayne ) ) , TN80-69 ( Essex , J74-40 ) ) ) , N96-6809_ )	-	-
N05402	YB32E00	Pioneer_P93B72	( YB32E00 ( Asgrow_A4138 , MO15733 ) , Pioneer_P93B72 )	-	-
N05916	Pioneer_P93B45	Pioneer_P93B68	( Pioneer_P93B45 , Pioneer_P93B68 )	-	-
N05977	XB31Z01	Pioneer_P93M60	( XB31Z01 ( Pioneer_P9306 , MO0708-31 ) , Pioneer_P93M60 )	-	-
