Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
J-112	Wells	Williams	( Wells , Williams )	PI 556632	The Lubrizol Corporation, PVP 8100092
J00-1	Manokin	Fowler	( Manokin , Fowler )	-	-
J00-2	Manokin	Fowler	( Manokin , Fowler )	-	-
J22	L37-1355	Arksoy_2913	( L37-1355 ( PI_81041 , - ) , Arksoy_2913 ( Arksoy ( PI_35335 , - ) , - ) )	-	?? Questionable
J420649	91608	Pioneer_P9273	( 91608 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) )	-	-
J558002	Pioneer_P9362	Syngenta_S29-11	( Pioneer_P9362 , Syngenta_S29-11 )	-	-
J634773	MP02052-11	Asgrow_A3431	( MP02052-11 ( CM293 , Syngenta_S24-92 ) , Asgrow_A3431 )	-	-
J74-116	Centennial	J74-47	( Centennial , J74-47 )	-	-
J74-90	D68-18	PI_88788	( D68-18 ( Dyer , Bragg ) , PI_88788 )	-	Developed by E.E. Hartwig
J77-255	D74-7631	F74-57	( D74-7631 ( Forrest , D70-3001 ( D64-4636 ( Hill , D58-3311 ) , Pickett_71 ) ) , F74-57 )	-	-
J80-293	J74-39	Centennial	( J74-39 , Centennial )	-	-
JA42	Kogane-Jiro	-	( Kogane-Jiro , - )	-	Japanese, probably PI 317335
JA53-7-6	PI_358323	-	( PI_358323 , - )	-	Selection from PI 358323
JH10032580	Pioneer_P92M91	JH8069431	( Pioneer_P92M91 , JH8069431 ( Pioneer_P92B38 , JH7380284 ( Pioneer_P92B38 , JH6676568 ( Pioneer_P92B38 , JX5789894 ) ) ) )	-	-
JH10032629	XB29K04	JH8069435	( XB29K04 ( 45217N901 ( S2911 , 21066 ( MO12557 , 90688A ( Asgrow_A4715 , G40-3P9392 ) ) ) , XB25P99 ( Pioneer_P93B82 , 91013F2 ( W30132-004 , 90753 ( ST2250 , 90682 ( Pioneer_P9342 , G40-3P9341 ) ) ) ) ) , JH8069435 ( Pioneer_P92B38 , JH7380284 ( Pioneer_P92B38 , JH6676568 ( Pioneer_P92B38 , JX5789894 ) ) ) )	-	-
JH10955518	JH9638246	YB38Q05	( JH9638246 , YB38Q05 ( Pioneer_P93B87 , Pioneer_P93B82 ) )	-	-
JH10955520	JH9638246	XB22G06	( JH9638246 , XB22G06 ( Pioneer_P93B82 , Pioneer_P91B53 ) )	-	-
JH10955521	JH9638246	ZB27U04	( JH9638246 , ZB27U04 ( Pioneer_P93B87 , Pioneer_P92B61 ) )	-	-
JH11944941	XB22G06	JH10955520	( XB22G06 ( Pioneer_P93B82 , Pioneer_P91B53 ) ( Pioneer_P93B82 , Pioneer_P91B53 ) , JH10955520 ( JH9638246 , XB22G06 ( Pioneer_P93B82 , Pioneer_P91B53 ) ) )	-	-
JH11944958	YB38Q05	JH10955518	( YB38Q05 ( Pioneer_P93B87 , Pioneer_P93B82 ) ( Pioneer_P93B87 , Pioneer_P93B82 ) , JH10955518 ( JH9638246 , YB38Q05 ( Pioneer_P93B87 , Pioneer_P93B82 ) ) )	-	-
JH11944981	ZB27U04	JH10955521	( ZB27U04 ( Pioneer_P93B87 , Pioneer_P92B61 ) ( Pioneer_P93B87 , Pioneer_P92B61 ) , JH10955521 ( JH9638246 , ZB27U04 ( Pioneer_P93B87 , Pioneer_P92B61 ) ) )	-	-
