Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
C1963	HC86-4367	HS88-4909	( HC86-4367 ( Asgrow_A3127 ( Williams , Essex ) , Sprite_87 ) , HS88-4909 ( Conrad , Hayes ) )	-	-
C1979	IA3003	Stressland	( IA3003 , Stressland )	-	-
C1981	Olympus	CX1307-205	( Olympus , CX1307-205 )	-	-
C2	Dunfield	Midwest	( Dunfield ( PI_36846 , - ) , Midwest ( PI_6556 , - ) )	-	-
C232	Midwest	Dunfield	( Midwest ( PI_6556 , - ) , Dunfield ( PI_36846 , - ) )	-	-
C233	Midwest	Dunfield	( Midwest ( PI_6556 , - ) , Dunfield ( PI_36846 , - ) )	-	-
C235	Midwest	Dunfield	( Midwest ( PI_6556 , - ) , Dunfield ( PI_36846 , - ) )	-	-
C240	Midwest	Dunfield	( Midwest ( PI_6556 , - ) , Dunfield ( PI_36846 , - ) )	-	-
C39	Dunfield	-	( Dunfield ( PI_36846 , - ) , - )	-	Hybrid in Dunfield
C4	Illini	Mandell	( Illini ( A.K. , - ) , Mandell )	-	-
C40	Dunfield	-	( Dunfield ( PI_36846 , - ) , - )	-	Hybrid in Dunfield
C425	T117	Mansoy	( T117 ( AK114 ( Illini ( A.K. , - ) , - ) , PI_65394 ) , Mansoy ( Manchu ( PI_30593 , - ) , - ) )	-	-
C439	Dunfield	Mansoy	( Dunfield ( PI_36846 , - ) , Mansoy ( Manchu ( PI_30593 , - ) , - ) )	-	-
C447	Dunfield	Mansoy	( Dunfield ( PI_36846 , - ) , Mansoy ( Manchu ( PI_30593 , - ) , - ) )	-	-
C453	Dunfield	Mansoy	( Dunfield ( PI_36846 , - ) , Mansoy ( Manchu ( PI_30593 , - ) , - ) )	-	-
C458	Dunfield	Mansoy	( Dunfield ( PI_36846 , - ) , Mansoy ( Manchu ( PI_30593 , - ) , - ) )	-	-
C461	Dunfield	Mansoy	( Dunfield ( PI_36846 , - ) , Mansoy ( Manchu ( PI_30593 , - ) , - ) )	-	-
C464	Dunfield	Mansoy	( Dunfield ( PI_36846 , - ) , Mansoy ( Manchu ( PI_30593 , - ) , - ) )	-	-
C470	PI_54592	-	( PI_54592 , - )	-	Rogue selection from PI 54592
C490	Patoka	C171	( Patoka , C171 ( Midwest ( PI_6556 , - ) , Dunfield ( PI_36846 , - ) ) )	-	-
C499	C143	C240	( C143 ( PI_70218-2-6-7 , - ) , C240 ( Midwest ( PI_6556 , - ) , Dunfield ( PI_36846 , - ) ) )	-	-
C500	C143	C240	( C143 ( PI_70218-2-6-7 , - ) , C240 ( Midwest ( PI_6556 , - ) , Dunfield ( PI_36846 , - ) ) )	-	-
C501	C143	C240	( C143 ( PI_70218-2-6-7 , - ) , C240 ( Midwest ( PI_6556 , - ) , Dunfield ( PI_36846 , - ) ) )	-	-
C502	C143	C240	( C143 ( PI_70218-2-6-7 , - ) , C240 ( Midwest ( PI_6556 , - ) , Dunfield ( PI_36846 , - ) ) )	-	-
C508	Patoka	L37-1355	( Patoka , L37-1355 ( PI_81041 , - ) )	-	-
C509	L37-1355	Richland	( L37-1355 ( PI_81041 , - ) , Richland )	-	-
C56	Illini	Mandell	( Illini ( A.K. , - ) , Mandell )	-	-
C6	Illini	Mandell	( Illini ( A.K. , - ) , Mandell )	-	-
C60	Illini	Mandell	( Illini ( A.K. , - ) , Mandell )	-	-
C62	Illini	Midwest	( Illini ( A.K. , - ) , Midwest ( PI_6556 , - ) )	-	-
C66	Dunfield	Manchu	( Dunfield ( PI_36846 , - ) , Manchu ( PI_30593 , - ) )	-	-
C683	Mukden	Richland	( Mukden ( PI_50523 , - ) , Richland )	-	-
C7	Illini	Mandell	( Illini ( A.K. , - ) , Mandell )	-	-
C72	Dunfield	Manchu	( Dunfield ( PI_36846 , - ) , Manchu ( PI_30593 , - ) )	-	-
C79	Illini	Mandell	( Illini ( A.K. , - ) , Mandell )	-	-
C799	C143	Lincoln	( C143 ( PI_70218-2-6-7 , - ) , Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) )	-	PI 70218-2-6-7, Patoka sib.
C805	C143	Lincoln	( C143 ( PI_70218-2-6-7 , - ) , Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) )	-	-
C83	Illini	Midwest	( Illini ( A.K. , - ) , Midwest ( PI_6556 , - ) )	-	-
C84	CX531	-	( CX531 ( Midwest ( PI_6556 , - ) , Dunfield ( PI_36846 , - ) ) , - )	-	Selection from CX531
C859	Dunfield	Lincoln	( Dunfield ( PI_36846 , - ) , Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) )	-	-
C873	Dunfield	Lincoln	( Dunfield ( PI_36846 , - ) , Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) )	-	-
C91	Dunfield	Manchu	( Dunfield ( PI_36846 , - ) , Manchu ( PI_30593 , - ) )	-	-
C931	Lincoln	Earlyana	( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Earlyana )	-	-
C985	Lincoln	Ogden	( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) )	-	-
C986	Lincoln	Ogden	( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) )	-	-
CA14387615	YB27Z06	YB24X06	( YB27Z06 ( Pioneer_P93B66 , YB22T00 ( Pioneer_P9362 , MO21584 ) ) , YB24X06 ( Ina ( Jack , Hartwig ) , K10467 ( XB16H ( Syngenta_S19-90 , MO30732-51 ) ( Syngenta_S19-90 , MO30732-51 ) ( Syngenta_S19-90 , MO30732-51 ) , K10292 ( XB16H ( Syngenta_S19-90 , MO30732-51 ) ( Syngenta_S19-90 , MO30732-51 ) , K10147 ( XB16H ( Syngenta_S19-90 , MO30732-51 ) , Pioneer_P91B52 ) ) ) ) )	-	-
CA4135092	Syngenta_S03-W4	Pioneer_P90M60	( Syngenta_S03-W4 , Pioneer_P90M60 )	-	-
CFS_2000	C1426	Amsoy_Phyt_4	( C1426 ( C1253 ( Blackhawk , Harosoy ) , Kent ) , Amsoy_Phyt_4 )	PI 546499	Agripro Seeds, Inc., PVP 7500081
CL04-132315	CL0J173-6-2	Syngenta_S18-N5	( CL0J173-6-2 ( Kottman , Dwight ) , Syngenta_S18-N5 ( Asgrow_A3431 , Syngenta_S18-11 ) )	-	-
CL04-13234	CL0J173-6-2_	Syngenta_S18-N5_	( CL0J173-6-2_ , Syngenta_S18-N5_ )	-	-
CL05-3314	98820-33	0J177-1-9	( 98820-33 , 0J177-1-9 )	-	-
CL05-4637	CL0J173-6-8	LD00-3309	( CL0J173-6-8 ( Kottman , Dwight ) , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) )	-	-
