Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
M05-350061	M00-111179	M98-134022	( M00-111179 ( MN0902CN , MN0302 ) , M98-134022 ( Lambert , Hartwig ) )	-	-
M05-353086	MN0902CN	M99-286047	( MN0902CN , M99-286047 ( IA1008 , Pioneer_P9234 ) )	-	-
M05-363022	IA1008	MN1011CN	( IA1008 , MN1011CN )	-	-
M06-274009	MN0902CN	MN1011CN	( MN0902CN , MN1011CN )	-	-
M06-274098	MN0902CN	MN1011CN	( MN0902CN , MN1011CN )	-	-
M06-289001	M00-351195	M00-365181	( M00-351195 ( MN0902CN , M95-123116 ( Parker , M92-1631 ( Maple_Ridge , Lakota ) ) ) , M00-365181 ( Jim , LN94-14862-97-2 ( Jack , Hartwig ) ) )	-	-
M06-296023	M99-278133	MN0091	( M99-278133 ( MN0301 , S-1990 ) , MN0091 )	-	-
M06-318018	M98-283046	SDX98-7452	( M98-283046 , SDX98-7452 )	-	-
M06-320039	MN0201	MN1105SP	( MN0201 , MN1105SP )	-	-
M06-337011	Parker	ND02-971	( Parker , ND02-971 ( Celeste , Crawford ) )	-	-
M06-338016	ND02-971	MN0071	( ND02-971 ( Celeste , Crawford ) , MN0071 ( Harmony , OT92-8 ( Baron , Maple_Donovan ) ) )	-	-
M06-353010	M03-809245	MN0107	( M03-809245 , MN0107 ( MN0302 , Daksoy ) )	-	-
M06-378172	MN0302	PI_445826	( MN0302 , PI_445826 )	-	-
M06-380029	Jim	PI_548325	( Jim , PI_548325 )	-	-
M06-381085	M97-136016	PI_603290	( M97-136016 ( M90-162034 ( Burlison ( K74-113-76-486 , Century ) , M84-93 ( M71-148 ( Clay , Evans ) , Ozzie ) ) , IA2021 ) , PI_603290 )	-	-
M06R-150044	MN1803RR	MN0401RR	( MN1803RR , MN0401RR ( Surge , M96-136-20 ) )	-	-
M06R-152009	SD1091RR	M02-466298	( SD1091RR , M02-466298 ( MN1103SP ( A89-269039 , M87-1709 ( Ozzie , C1640 ( Century , - ) ) ) , A14743B002 ) )	-	-
M06R-613036	M99-304146	N33129R	( M99-304146 , N33129R )	-	-
M06R-614008	SDX00R-026-42	N34505R	( SDX00R-026-42 ( SD1081RR , IA1008 ) , N34505R )	-	-
M06R-614016	SDX00R-026-42	N34505R	( SDX00R-026-42 ( SD1081RR , IA1008 ) , N34505R )	-	-
M06R-619017	M99-386097	N33129R	( M99-386097 ( M89-1006 , Kato ) , N33129R )	-	-
M06R-621-1007	SDX00R-017-52	MN0206RR	( SDX00R-017-52 , MN0206RR )	-	-
M06R-621-1014	SDX00R-017-52	MN0206RR	( SDX00R-017-52 , MN0206RR )	-	-
M06R-621-7020	SDX00R-017-52	MN0206RR	( SDX00R-017-52 , MN0206RR )	-	-
M07-209037	M90-184111	MN0606CN	( M90-184111 ( L85P-558 ( L73-4673 ( Corsoy , L66L-154 ( Wayne , L57-0034 ( Clark , Adams ) ) ) , Fayette ) , M86-1973 ( M75-89 ( Corsoy , M68-303 ( M60-406 ( Blackhawk , Harosoy ) , Beeson ) ) , L77-906 ) ) , MN0606CN ( MN0901 , MN0902CN ) )	-	-
M07-260009	NE1900	MN0107	( NE1900 ( MSBP1 , MSBP1 ) , MN0107 ( MN0302 , Daksoy ) )	-	-
M07-260028	NE1900	MN0107	( NE1900 ( MSBP1 , MSBP1 ) , MN0107 ( MN0302 , Daksoy ) )	-	-
M07-278122	M00-110002	Sheyenne	( M00-110002 ( U96-2408 ( Colfax , Iroquois ) , MN0302 ) , Sheyenne )	-	-
M07-292111	M01-315029	MN1106CN	( M01-315029 ( A99-216031 ( A94-773014 ( Pioneer_P9303 , A87-395012 ( Fayette , Asgrow_A3659 ( Williams , Essex ) ) ) , AgriPro_AP1995 ( AgriPro_AP1989 ( AgriPro_AP26 ( Beeson , Calland ) , Vickery ) , Asgrow_A3427 ( Asgrow_X3836 , Asgrow_A3127 ( Williams , Essex ) ) ) ) , M95-123023 ( Parker , M92-1631 ( Maple_Ridge , Lakota ) ) ) , MN1106CN )	-	-
M07-296048	M01-314114	MN1011CN	( M01-314114 , MN1011CN )	-	-
M07-297004	MN0902CN	LD02-5320	( MN0902CN , LD02-5320 ( A96-591046 , Dwight ) )	-	-
M07-297007	MN0902CN	LD02-5320	( MN0902CN , LD02-5320 ( A96-591046 , Dwight ) )	-	-
M07-298022	M00-116161	MN1806SP	( M00-116161 ( MN0901 , MN0902CN ) , MN1806SP )	-	-
M07-301036	MN1308SP	M98-310069	( MN1308SP , M98-310069 )	-	-
M07-340035	M99-274166	MN0091	( M99-274166 , MN0091 )	-	-
M07-396100	Sheyenne	M01-257028	( Sheyenne , M01-257028 ( PI_437994 , PI_567222 ) )	-	-
M08-218002	MN0302	M01-228058	( MN0302 , M01-228058 ( PI_445837 , PI_445837 ) )	-	-
M08-231043	Heinong_44	MN0071	( Heinong_44 , MN0071 ( Harmony , OT92-8 ( Baron , Maple_Donovan ) ) )	-	-
M08-271313	M03-276016	IA2064	( M03-276016 ( MN0071 ( Harmony , OT92-8 ( Baron , Maple_Donovan ) ) , IA2062 ) , IA2064 )	-	-
M08-328030	MN0308CN	M03-176076	( MN0308CN , M03-176076 ( M97-205062 , MN1404SP ) )	-	-
