Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
SC93-2073	Coker_6738	G83-198	( Coker_6738 ( Braxton , Coker_368 ( Corker_71-211 , Centennial ) ) , G83-198 ( D74-7741 ( Forrest , D70-3001 ( D64-4636 ( Hill , D58-3311 ) , Pickett_71 ) ) , Young ) )	-	-
SC93-2082	Coker_6738	G83-198	( Coker_6738 ( Braxton , Coker_368 ( Corker_71-211 , Centennial ) ) , G83-198 ( D74-7741 ( Forrest , D70-3001 ( D64-4636 ( Hill , D58-3311 ) , Pickett_71 ) ) , Young ) )	-	-
SC93-2679	Coker_82-622	Howard	( Coker_82-622 ( Braxton , Coker_368 ( Corker_71-211 , Centennial ) ) , Howard )	-	-
SC93-827	Coker_6847	Hagood	( Coker_6847 , Hagood )	-	-
SC94-1000	Coker_6847	G83-198	( Coker_6847 , G83-198 ( D74-7741 ( Forrest , D70-3001 ( D64-4636 ( Hill , D58-3311 ) , Pickett_71 ) ) , Young ) )	-	-
SC94-1075	Coker_6847	G83-198	( Coker_6847 , G83-198 ( D74-7741 ( Forrest , D70-3001 ( D64-4636 ( Hill , D58-3311 ) , Pickett_71 ) ) , Young ) )	-	-
SC94-1547	Northrup_King_S83-30	Bryan	( Northrup_King_S83-30 , Bryan )	-	-
SC94-1573	Northrup_King_S83-30	Bryan	( Northrup_King_S83-30 , Bryan )	-	-
SC94-1577	Northrup_King_S83-30	Bryan	( Northrup_King_S83-30 , Bryan )	-	-
SC94-51	Hagood	Coker_6738	( Hagood , Coker_6738 ( Braxton , Coker_368 ( Corker_71-211 , Centennial ) ) )	-	-
SC95-1070	Northrup_King_S83-30	Manokin	( Northrup_King_S83-30 , Manokin )	-	-
SC95-771	Coker_6847	Manokin	( Coker_6847 , Manokin )	-	-
SC95-988	Hagood	G83-198	( Hagood , G83-198 ( D74-7741 ( Forrest , D70-3001 ( D64-4636 ( Hill , D58-3311 ) , Pickett_71 ) ) , Young ) )	-	-
SC96-1476	SC89-181	SC84-931	( SC89-181 , SC84-931 )	-	-
SC96-1574	SC89-181	Northrup_King_S75-55	( SC89-181 , Northrup_King_S75-55 )	-	-
SC96-1624	SC89-181	Northrup_King_S75-55	( SC89-181 , Northrup_King_S75-55 )	-	-
SC96-1628	SC89-181	Northrup_King_S75-55	( SC89-181 , Northrup_King_S75-55 )	-	-
SC96-1688	SC89-181	Northrup_King_S75-55	( SC89-181 , Northrup_King_S75-55 )	-	-
SC96-226	N88-480	Hagood	( N88-480 , Hagood )	-	-
